index,file,position_mm
146,slice_0146_-97.59mm.png,-97.59
147,slice_0147_-98.21mm.png,-98.21
148,slice_0148_-98.84mm.png,-98.84
149,slice_0149_-99.46mm.png,-99.46
150,slice_0150_-100.09mm.png,-100.09
151,slice_0151_-100.71mm.png,-100.71
152,slice_0152_-101.34mm.png,-101.34
153,slice_0153_-101.96mm.png,-101.96
154,slice_0154_-102.59mm.png,-102.59
155,slice_0155_-103.21mm.png,-103.21
156,slice_0156_-103.84mm.png,-103.84
157,slice_0157_-104.46mm.png,-104.46
158,slice_0158_-105.09mm.png,-105.09
159,slice_0159_-105.71mm.png,-105.71
160,slice_0160_-106.34mm.png,-106.34
161,slice_0161_-106.96mm.png,-106.96
162,slice_0162_-107.59mm.png,-107.59
163,slice_0163_-108.21mm.png,-108.21
164,slice_0164_-108.84mm.png,-108.84
165,slice_0165_-109.46mm.png,-109.46
166,slice_0166_-110.09mm.png,-110.09
167,slice_0167_-110.71mm.png,-110.71
168,slice_0168_-111.34mm.png,-111.34
169,slice_0169_-111.96mm.png,-111.96
170,slice_0170_-112.59mm.png,-112.59
171,slice_0171_-113.21mm.png,-113.21
172,slice_0172_-113.84mm.png,-113.84
173,slice_0173_-114.46mm.png,-114.46
174,slice_0174_-115.09mm.png,-115.09
175,slice_0175_-115.71mm.png,-115.71
176,slice_0176_-116.34mm.png,-116.34
177,slice_0177_-116.96mm.png,-116.96
178,slice_0178_-117.59mm.png,-117.59
179,slice_0179_-118.21mm.png,-118.21
180,slice_0180_-118.84mm.png,-118.84
181,slice_0181_-119.46mm.png,-119.46
182,slice_0182_-120.09mm.png,-120.09
183,slice_0183_-120.71mm.png,-120.71
184,slice_0184_-121.34mm.png,-121.34
185,slice_0185_-121.96mm.png,-121.96
186,slice_0186_-122.59mm.png,-122.59
187,slice_0187_-123.21mm.png,-123.21
188,slice_0188_-123.84mm.png,-123.84
189,slice_0189_-124.46mm.png,-124.46
190,slice_0190_-125.09mm.png,-125.09
191,slice_0191_-125.71mm.png,-125.71
192,slice_0192_-126.34mm.png,-126.34
193,slice_0193_-126.96mm.png,-126.96
194,slice_0194_-127.59mm.png,-127.59
195,slice_0195_-128.21mm.png,-128.21
196,slice_0196_-128.84mm.png,-128.84
197,slice_0197_-129.46mm.png,-129.46
198,slice_0198_-130.09mm.png,-130.09
199,slice_0199_-130.71mm.png,-130.71
200,slice_0200_-131.34mm.png,-131.34
201,slice_0201_-131.96mm.png,-131.96
202,slice_0202_-132.59mm.png,-132.59
203,slice_0203_-133.21mm.png,-133.21
204,slice_0204_-133.84mm.png,-133.84
205,slice_0205_-134.46mm.png,-134.46
206,slice_0206_-135.09mm.png,-135.09
207,slice_0207_-135.71mm.png,-135.71
208,slice_0208_-136.34mm.png,-136.34
209,slice_0209_-136.96mm.png,-136.96
