index,file,position_mm,sharpness,saw_loading
114,slice_0114_-77.58mm.png,-77.585,8.0,False
115,slice_0115_-78.21mm.png,-78.21,8.2,False
116,slice_0116_-78.83mm.png,-78.835,8.3,False
117,slice_0117_-79.46mm.png,-79.46,8.3,False
118,slice_0118_-80.08mm.png,-80.085,8.3,False
119,slice_0119_-80.71mm.png,-80.71,8.3,False
120,slice_0120_-81.33mm.png,-81.335,8.2,False
121,slice_0121_-81.96mm.png,-81.96,8.3,False
122,slice_0122_-82.58mm.png,-82.585,8.3,False
123,slice_0123_-83.21mm.png,-83.21,8.3,False
124,slice_0124_-83.83mm.png,-83.835,8.3,False
125,slice_0125_-84.46mm.png,-84.46,8.1,False
126,slice_0126_-85.08mm.png,-85.085,7.9,False
127,slice_0127_-85.71mm.png,-85.71,7.7,False
128,slice_0128_-86.33mm.png,-86.335,7.8,False
129,slice_0129_-86.96mm.png,-86.96,7.9,False
130,slice_0130_-87.58mm.png,-87.585,8.2,False
131,slice_0131_-88.21mm.png,-88.21,8.3,False
132,slice_0132_-88.83mm.png,-88.835,8.0,False
133,slice_0133_-89.46mm.png,-89.46,8.3,False
134,slice_0134_-90.08mm.png,-90.085,8.3,False
135,slice_0135_-90.71mm.png,-90.71,8.1,False
136,slice_0136_-91.33mm.png,-91.335,8.0,False
137,slice_0137_-91.96mm.png,-91.96,8.0,False
138,slice_0138_-92.58mm.png,-92.585,8.0,False
139,slice_0139_-93.21mm.png,-93.21,8.1,False
140,slice_0140_-93.83mm.png,-93.835,8.1,False
141,slice_0141_-94.46mm.png,-94.46,8.0,False
142,slice_0142_-95.08mm.png,-95.085,7.7,False
143,slice_0143_-95.71mm.png,-95.71,7.4,False
144,slice_0144_-96.33mm.png,-96.335,7.3,False
145,slice_0145_-96.96mm.png,-96.96,7.2,False
146,slice_0146_-97.58mm.png,-97.585,7.4,False
147,slice_0147_-98.21mm.png,-98.21,7.6,False
148,slice_0148_-98.83mm.png,-98.835,8.0,False
149,slice_0149_-99.46mm.png,-99.46,8.3,False
150,slice_0150_-100.08mm.png,-100.085,8.4,False
151,slice_0151_-100.71mm.png,-100.71,8.7,False
152,slice_0152_-101.33mm.png,-101.335,8.8,False
153,slice_0153_-101.96mm.png,-101.96,9.0,False
154,slice_0154_-102.58mm.png,-102.585,9.2,False
155,slice_0155_-103.21mm.png,-103.21,9.3,False
156,slice_0156_-103.83mm.png,-103.835,9.3,False
157,slice_0157_-104.46mm.png,-104.46,9.2,False
158,slice_0158_-105.08mm.png,-105.085,9.2,False
159,slice_0159_-105.71mm.png,-105.71,9.1,False
160,slice_0160_-106.33mm.png,-106.335,9.3,False
161,slice_0161_-106.96mm.png,-106.96,9.5,False
162,slice_0162_-107.58mm.png,-107.585,9.3,False
163,slice_0163_-108.21mm.png,-108.21,9.0,False
164,slice_0164_-108.83mm.png,-108.835,8.9,False
165,slice_0165_-109.46mm.png,-109.46,8.8,False
166,slice_0166_-110.08mm.png,-110.085,8.7,False
167,slice_0167_-110.71mm.png,-110.71,8.8,False
168,slice_0168_-111.33mm.png,-111.335,8.7,False
169,slice_0169_-111.96mm.png,-111.96,8.7,False
170,slice_0170_-112.58mm.png,-112.585,8.7,False
171,slice_0171_-113.21mm.png,-113.21,8.6,False
172,slice_0172_-113.83mm.png,-113.835,8.5,False
173,slice_0173_-114.46mm.png,-114.46,8.3,False
174,slice_0174_-115.08mm.png,-115.085,8.2,False
175,slice_0175_-115.71mm.png,-115.71,8.3,False
176,slice_0176_-116.33mm.png,-116.335,8.4,False
177,slice_0177_-116.96mm.png,-116.96,8.6,False
178,slice_0178_-117.58mm.png,-117.585,8.8,False
179,slice_0179_-118.21mm.png,-118.21,9.2,False
180,slice_0180_-118.83mm.png,-118.835,9.7,False
181,slice_0181_-119.46mm.png,-119.46,10.2,False
182,slice_0182_-120.08mm.png,-120.085,10.6,False
183,slice_0183_-120.71mm.png,-120.71,11.3,False
184,slice_0184_-121.33mm.png,-121.335,11.6,False
185,slice_0185_-121.96mm.png,-121.96,11.1,False
186,slice_0186_-122.58mm.png,-122.585,11.3,False
187,slice_0187_-123.21mm.png,-123.21,11.3,False
188,slice_0188_-123.83mm.png,-123.835,11.7,False
189,slice_0189_-124.46mm.png,-124.46,13.2,False
190,slice_0190_-125.08mm.png,-125.085,14.4,False
191,slice_0191_-125.71mm.png,-125.71,15.1,False
192,slice_0192_-126.33mm.png,-126.335,15.7,False
193,slice_0193_-126.96mm.png,-126.96,16.3,False
194,slice_0194_-127.58mm.png,-127.585,16.0,False
195,slice_0195_-128.21mm.png,-128.21,16.1,False
196,slice_0196_-128.84mm.png,-128.835,15.8,False
197,slice_0197_-129.46mm.png,-129.46,15.6,False
198,slice_0198_-130.09mm.png,-130.085,14.4,False
199,slice_0199_-130.71mm.png,-130.71,13.5,False
200,slice_0200_-131.34mm.png,-131.335,13.5,False
201,slice_0201_-131.96mm.png,-131.96,13.9,False
202,slice_0202_-132.59mm.png,-132.585,14.4,False
203,slice_0203_-133.21mm.png,-133.21,14.1,False
204,slice_0204_-133.84mm.png,-133.835,13.2,False
205,slice_0205_-134.46mm.png,-134.46,11.4,False
206,slice_0206_-135.09mm.png,-135.085,10.2,False
207,slice_0207_-135.71mm.png,-135.71,10.1,False
208,slice_0208_-136.34mm.png,-136.335,9.7,False
209,slice_0209_-136.96mm.png,-136.96,10.0,False
